Date,Activity,Status,Miles,Bonus Miles,Total Miles
03/27/2025,BANK OF AMERICA  VISA SIGNATURE CARD CATEGORY PURCHASE BONUS,Credited,142,0,142
03/27/2025,BANK OF AMERICA  VISA SIGNATURE CARD ACTIVITY,Credited,952,0,952
02/28/2025,BANK OF AMERICA  VISA CARD 2025 ELITE QUALIFYING MILES,Credited,299,0,299
02/27/2025,BANK OF AMERICA  VISA SIGNATURE CARD CATEGORY PURCHASE BONUS,Credited,10,0,10
02/27/2025,BANK OF AMERICA  VISA SIGNATURE CARD ACTIVITY,Credited,997,0,997
01/31/2025,BANK OF AMERICA  VISA CARD 2025 ELITE QUALIFYING MILES,Credited,194,0,194
01/27/2025,BANK OF AMERICA  VISA SIGNATURE CARD ACTIVITY,Credited,468,0,468
04/13/2023,Alaska Airlines  EUG-LAX AS1285 L,Credited,748,0,748
