"Protein","Placenta_19_R1_Core","Placenta_19_R1_STB","Placenta_19_R2_Core","Placenta_19_R2_STB","Placenta_19_R3_STB","Placenta_19_R5_Core","Placenta_19_R5_STB","Placenta_23_R1_Core","Placenta_23_R1_STB","Placenta_23_R2_Core","Placenta_23_R2_STB","Placenta_23_R3_Core","Placenta_23_R3_STB","Placenta_23_R4_Core","Placenta_23_R4_STB","Placenta_23_R5_Core","Placenta_23_R5_STB","Placenta_26_R1_Core","Placenta_26_R1_STB","Placenta_26_R2_Core","Placenta_26_R2_STB","Placenta_26_R3_Core","Placenta_26_R3_STB","Placenta_26_R4_STB","Placenta_26_R5_Core","Placenta_26_R5_STB"
"Protein31",1.78895270736686,2.48895419530437,2.88946287221249,2.07267370869105,2.19534203897365,2.41380484277317,3.07758697858638,3.08575550560427,2.69155276202918,2.77782163792176,2.42825270384923,2.41161684317263,2.50437180374119,2.4669016054583,2.44024706286964,2.19141266047109,2.66862173230904,3.02842005745731,2.37645789031311,3.29600978011242,2.98437672052799,2.97300566301167,2.65794348146294,2.90969425892937,2.92195575818825,2.77195469207721
"Protein32",1.21708816500629,2.01495917882833,2.47124072756295,1.37132712823461,1.40336646721488,1.92137776573778,2.46925319933545,2.41967593647023,2.00846467911468,2.5299056381375,1.61614384798287,1.82704536340155,1.77234158275214,1.68122832509702,1.74845029697927,1.52723468238793,1.65858568288681,2.81928187554834,1.82041469138207,2.60238629717655,2.41869523569449,2.33961078909544,2.12994165658647,2.24964918602351,2.39238894829555,2.1641323041794
"Protein33",1.53249509659553,2.60943064296989,3.68475137211961,2.22355766412404,2.00339058242572,2.47646920660507,3.16940377362923,3.211651508229,2.5897262722004,2.77782163792176,2.38800941884739,2.30025462195871,2.52475137528663,2.33098688747449,2.42086992905884,1.89594184721523,2.2946406809596,2.99263751805577,2.12244466184174,3.29600978011242,2.97223446901617,2.97348119753435,2.60593888617006,2.90969425892937,2.93410188412479,2.95670383263467
"Protein34",1.21708816500629,2.01495917882833,2.47124072756295,1.37132712823461,1.40336646721488,1.92137776573778,2.46925319933545,2.41967593647023,2.00846467911468,2.5299056381375,1.61614384798287,1.82704536340155,1.77234158275214,1.68122832509702,1.74845029697927,1.52723468238793,1.65858568288681,2.81928187554834,1.82041469138207,2.60238629717655,2.41869523569449,2.33961078909544,2.12994165658647,2.24964918602351,2.39238894829555,2.1641323041794
"Protein35",2.27708410607591,1.55896300727479,2.80102135279479,1.75073756902171,1.27587941374289,2.83325247723404,1.77306330995925,3.13595483479709,1.67553064097302,2.5193721689228,1.72479348225107,1.99832939746625,0.924651364456306,1.93787421555344,1.91735716889504,1.64322217217182,1.633565833062,2.44203201884566,0.86023514492671,3.02248306045005,1.97458774736049,2.49524671197487,1.51329403206474,1.49520055726856,2.71263263901747,1.76490053179513
"Protein36",0.719579479682029,0.146306276424228,1.95354808371875,0.277540846620782,-0.0177124318353563,1.57526637242618,0.31908137710866,2.72263667779302,0.328556203363065,1.13097221145137,-0.296915114303243,-0.508710966277029,-0.399304855411501,0.534042703815699,0.253383898831606,0.345973797656818,0.40532642897972,0.914297566376749,-0.467014293020878,2.24630395273735,0.662428418872373,0.968980747534607,-0.0201053713678272,-0.310943024471098,1.40403437593651,0.291877383789599
"Protein37",-0.491049111036923,0.336590104111878,-0.151226750032837,0.474981459536064,0.331461245790447,0.482068551212979,0.746248118072927,0.302650014523476,0.363470534654245,-0.0912276965664667,0.315855683797825,-0.0767203404248633,0.0556057284654354,-0.852691865133622,0.505939968112862,-1.19749623390891,0.713354785057393,0.174124040434567,-0.428921404460153,0.544856482587665,0.580466894313195,-0.2761518230392,0.324881037279949,0.0988898391439923,-0.100827729587177,0.391042978186604
"Protein38",0.927337930767331,1.57637194659779,-1.73154724144915,0.344116452413228,0.0637169778714917,-0.563741494467591,0.557822189099839,-1.50047061093601,-0.736518214145005,1.5112374364379,1.0556863455887,1.10568272564278,1.43656461751961,-0.518449731199439,0.165429663950268,1.10690102168059,1.08861390718254,1.88154554499641,1.20472060172788,-0.489853706585659,0.28538708055196,1.92802780478185,0.867018458171422,0.549678210946771,0.960079723135951,0.298807523992611
"Protein39",-0.178320648994287,NA,NA,NA,-2.1889876393106,-1.92384642551344,-1.69390279733833,-1.2653019523729,NA,-1.32155815449327,NA,0.256073749255485,NA,-1.4320428111937,NA,-1.22965302035226,NA,-0.223811909408305,NA,-1.40414757375728,NA,-0.635924740632753,NA,NA,-0.610687306218182,NA
"Protein40",1.39203256404964,1.00577096623057,1.25668804272321,0.740976304434966,0.650112979301609,1.11195341190982,1.07882580059482,1.18878977267842,0.426949046525053,0.681876335496822,0.76831376907642,1.10356154012739,-0.388769578741318,0.334511882239262,0.685081489804361,0.378970305858562,0.714833076974708,1.67973876347573,0.8226869958553,1.22468413155237,1.1239458854812,1.71095099253097,1.36569953005698,0.309936783156026,1.50666270189264,0.441136845144236
"Protein41",-2.48137076610263,-2.10847963450829,NA,-1.86872230602391,-3.5674325168163,-4.41148998112887,-1.77254486014268,-2.95196277544106,-1.57543402535554,NA,-1.72119538431015,-2.11338352429604,-2.88097148740159,-2.4166523629627,-2.55339462594797,-3.3690069128495,-2.00602028106794,-3.99485555960011,-2.40639485355959,-3.10765283227046,-1.32648998273528,NA,-1.56392672505985,-3.06280935411606,-2.99652572697697,-2.10670697502018
"Protein42",5.14551423924255,3.76863312462175,5.28900292580147,3.96896791467287,4.57631133382818,4.86613605217003,4.71410251505769,5.98709949143524,4.58553086655317,4.68628103207118,4.67679543097039,5.32989506455449,4.40772781391517,5.45381238242354,4.10858822869775,4.84575133034981,4.51886801985977,5.08821137538801,4.00466362192851,5.6293928112004,5.03715805974272,5.44807619717588,4.38824632321926,4.42347003431875,5.4085992268324,4.69296545105354
"Protein43",8.23983123281192,7.47624927873368,8.87195904953752,7.10792427629081,7.5150965681173,8.69699913176241,7.83966990051161,9.13562023126572,7.5089425837636,7.7467315362009,7.60247343194236,7.75654539682283,7.10461322676723,8.18762099565595,7.45418653305256,7.69867722224668,7.38539201450909,8.38907659422469,7.26297858796089,9.11849514556264,7.90088034537813,8.24622272105672,7.29769591763506,7.273364932231,8.51467099331449,7.48591542660935
"Protein44",8.23983123281192,7.47624927873368,8.91750315090337,7.10792427629081,7.5150965681173,8.63380577602076,7.83966990051161,9.11401895840033,7.5089425837636,7.74783349921937,7.60247343194236,7.98904970615472,7.10461322676723,8.18762099565595,7.45418653305256,7.69867722224668,7.38539201450909,8.38907659422469,7.26297858796089,9.11849514556264,7.90088034537813,8.24622272105672,7.29769591763506,7.273364932231,8.51467099331449,7.48591542660935
"Protein45",8.24426119373907,7.56850476007644,8.82641494817167,7.16129590749233,7.5150965681173,8.63380577602076,7.93601873214051,9.11401895840033,7.59229082577275,7.74469956714417,7.50868857090411,7.6468934860143,7.09580164093493,8.18762099565595,7.486577637078,7.69435804128239,7.38539201450909,8.38907659422469,7.31789645215478,8.70295166267724,7.80951020675664,8.24622272105672,7.33784178389418,7.39247462354008,8.47457513530859,7.22115783101965
"Protein46",8.23983123281192,7.47624927873368,8.87195904953752,7.10792427629081,7.5150965681173,8.69699913176241,7.83966990051161,9.13562023126572,7.5089425837636,7.7467315362009,7.60247343194236,7.75654539682283,7.10461322676723,8.18762099565595,7.45418653305256,7.69867722224668,7.38539201450909,8.38907659422469,7.26297858796089,9.01147234947604,7.90088034537813,8.24622272105672,7.32558422512491,7.273364932231,8.51467099331449,7.48591542660935
"Protein47",0.000615942100441913,0.919349508311537,0.40038138820462,1.06979342213079,0.366725739704076,-0.156050401193959,1.0731661674121,0.87073013859092,1.17492806996717,0.343384207461757,0.885740246744867,0.568350124083366,0.93522586547077,0.996127706198827,0.974251215003047,-0.439253677308239,0.882111431994893,0.68378266820647,1.07264113348343,0.715847258217204,0.992328803797474,0.510793963506075,0.353582969644131,0.920241710992645,0.409103120268173,1.38990139085496
"Protein48",NA,NA,NA,-1.01540048411296,NA,NA,-1.96629120411686,NA,-0.872995983009183,-0.435296711883826,NA,NA,-1.35805864577951,-2.73774316765071,-1.42524147170215,NA,NA,NA,NA,NA,NA,NA,NA,-1.70446609153104,NA,NA
"Protein49",0.0178401642598907,NA,-1.55529847185405,-2.01545863736854,-2.56051310829675,-1.01298587078292,-0.197181417850494,-0.582227355108175,-1.38406163443735,-0.829390444222279,-1.35728500569524,NA,NA,-1.69349534428731,-1.36038686697562,NA,-1.27844359964248,0.67096877547851,NA,-0.298991525153575,0.0765381725964023,0.274930543911136,-0.93299519754337,-1.3811332683273,-0.763835179819356,-0.529153471822058
"Protein50",5.48657398236463,3.19788968395914,5.23690582526597,3.51084146104342,3.32563695878831,5.01420653372099,3.78228630018565,5.42536754996102,2.85536526238289,5.49116110860146,4.05337347528614,5.15765005080708,2.74821777711548,5.12161544534375,4.06087619636841,4.94832933178671,4.08925514282119,5.64926605892604,2.6792363529924,5.87498975083496,4.29156650661572,5.92073068677629,3.32484186843457,3.30541011441634,5.5548224766114,3.57182550837676
"Protein51",NA,-1.83096927055834,NA,-2.02862235625968,-2.28596361695059,NA,-1.74524468404182,NA,-1.63955034416727,NA,-1.71746572557679,NA,-2.07836178908073,NA,-1.64704324872614,NA,-2.2023815661931,NA,-1.75864402028336,NA,-1.34227907877853,NA,-1.30028303934197,-1.49662299550279,NA,-1.34154300706616
"Protein52",-2.08439270339948,0.5958935070357,-1.31352955937677,0.603175716716818,0.81939599001884,-2.0087354310413,0.721913914201469,-2.15330328000914,0.0818740147493484,NA,0.0772642426832491,-1.53844328056704,0.775162286508669,-0.568239216586914,0.348071175050116,-0.0543457551753317,0.601623125209867,-1.53540105747973,0.516017288123091,-1.34853644206459,0.663372584106593,-1.69596763450345,0.109067942965949,0.784581277270142,-1.5796679602549,0.614334858653066
"Protein53",-2.25513345853429,0.525086043512839,-1.31352955937677,0.545461321538998,0.214552343932219,-2.11001586793436,0.721913914201469,-1.5140805378734,0.172229437108712,-1.77530940517841,0.137514680391991,-1.53844328056704,0.56796219797145,-0.625818489251465,0.348071175050116,-3.16852186902949,0.503339065440001,-1.53540105747973,0.45744230224944,-1.34853644206459,0.648597391050671,-1.59488420727557,0.5294638087591,0.834053226551875,-1.92064428587773,0.591854721422845
"Protein54",-2.08439270339948,0.386463095758693,-1.31352955937677,0.603175716716818,0.473947845404615,-2.0087354310413,0.682096153714429,-2.15330328000914,0.461130784431504,-1.77530940517841,0.0772642426832491,-1.53844328056704,0.719949316844827,-0.625818489251465,0.398884062875137,-1.61143381210241,0.549860420600474,-1.53540105747973,0.531218872475678,-1.25040657836168,0.700428494015846,-1.59107775209332,-0.0502765197283654,0.834053226551875,-1.5796679602549,0.66480221848046
"Protein55",NA,-1.21025217314083,NA,0.132354165570781,-0.346842974482502,-1.74535485769113,0.249802255224733,NA,0.135080743356422,NA,-0.0259923577640784,-1.89768245229357,-1.63980386193552,NA,NA,NA,-0.718448206325524,-1.55924960387016,-0.312156195389807,NA,-0.242052606682527,NA,0.189678623809499,-2.44465017462381,NA,-1.71863098433685
"Protein56",3.92376097272978,5.38772599858339,4.02472832108412,5.18565681207267,5.42480099153236,3.66461771790049,5.13195336092853,4.48983270038697,4.52291225148801,4.26683940124018,4.45146005454309,4.10888240287632,4.56458757269323,3.82443503380923,4.40646193118902,3.66337996801031,4.93127930696804,4.1939081215695,5.40352386462852,3.82208336074635,4.94807367583628,4.31798227544554,5.16102152917459,5.0477519367111,4.65705272741467,4.83892140162699
"Protein57",0.564060068123364,1.95133273230653,0.367402752338108,1.56458211477177,1.62137798367088,0.121394298308868,1.3990179694731,0.904635506159435,1.0340879286048,0.732004726560525,1.17414640447312,-0.0488256256287976,0.793933443420489,-0.0341199045995282,0.968008039482051,-1.22490446095584,1.2899924509096,-0.0456327347588683,1.90466559731007,0.209071815314086,1.24350120990618,0.748596586680158,1.30975580917887,1.42905288855428,1.07048546589717,1.44555888211307
"Protein58",0.564060068123364,1.95133273230653,0.367402752338108,1.69866404299647,1.5627089829915,0.121394298308868,1.45613614112241,0.990508923932722,1.0340879286048,0.732004726560525,1.17414640447312,-0.0488256256287976,0.850519408413884,-0.0341199045995282,0.701914535059233,-1.22490446095584,1.26836647848539,-0.0456327347588683,1.90466559731007,0.209071815314086,1.2099993559769,0.699283227288731,1.30975580917887,1.42905288855428,1.07048546589717,1.44555888211307
"Protein59",NA,-0.788267217680139,NA,-1.11606225522683,-1.03231597059557,NA,-0.625165521915658,NA,-1.1705246913,NA,-1.27451322220463,NA,-0.506127056175838,NA,-2.17002910454831,NA,-1.75166378330954,NA,0.00472179609515067,NA,-1.27954658109361,NA,-1.77605006771628,-1.0300404884918,NA,-0.820095235465991
"Protein60",NA,-0.788267217680139,NA,-1.11606225522683,-1.18170580992895,NA,-0.688446070144882,NA,-1.20747521737995,NA,-0.769041410495262,NA,-0.431314650500129,NA,-2.10306956470693,NA,-1.74315777756437,NA,0.00472179609515067,NA,-1.27954658109361,NA,-1.70767258386277,-1.01669715422672,NA,-0.820095235465991
